#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.106521E+04   0.316835E-01   0.149117E-02   0.268223E+01   0.501686E-07   0.298791E-02  -0.122260E-04
     3   0.100206E+04   0.404835E-01   0.146809E-02   0.294516E+01   0.610035E-07   0.298627E-02  -0.131204E-04
     4   0.948739E+03   0.351741E-01   0.123474E-02   0.274787E+01   0.702709E-07   0.291288E-02  -0.111146E-04
     5   0.909688E+03   0.235990E-01   0.932875E-03   0.233620E+01   0.783096E-07   0.281094E-02  -0.756685E-05
     6   0.883486E+03   0.132994E-01   0.660473E-03   0.188052E+01   0.853220E-07   0.270230E-02  -0.366814E-05
     7   0.867236E+03   0.724816E-02   0.462833E-03   0.147485E+01   0.914935E-07   0.259663E-02  -0.345986E-06
     8   0.857589E+03   0.471015E-02   0.347396E-03   0.116258E+01   0.969545E-07   0.249372E-02   0.186046E-05
     9   0.853378E+03   0.381986E-02   0.301086E-03   0.952545E+00   0.101815E-06   0.239324E-02   0.281045E-05
    10   0.853361E+03   0.332567E-02   0.304652E-03   0.834114E+00   0.106143E-06   0.229639E-02   0.266191E-05
    11   0.855110E+03   0.289427E-02   0.339803E-03   0.787465E+00   0.110032E-06   0.221008E-02   0.175568E-05
    12   0.860099E+03   0.262857E-02   0.393615E-03   0.793667E+00   0.113488E-06   0.213022E-02   0.530510E-06
    13   0.867196E+03   0.260462E-02   0.457599E-03   0.831222E+00   0.116612E-06   0.205676E-02  -0.573384E-06
    14   0.874920E+03   0.276233E-02   0.527664E-03   0.883743E+00   0.119394E-06   0.198583E-02  -0.125218E-05
    15   0.883488E+03   0.301572E-02   0.601844E-03   0.941928E+00   0.121907E-06   0.191687E-02  -0.143443E-05
    16   0.892848E+03   0.334462E-02   0.679664E-03   0.999290E+00   0.124164E-06   0.185276E-02  -0.123971E-05
    17   0.904180E+03   0.379409E-02   0.760699E-03   0.105709E+01   0.126166E-06   0.179042E-02  -0.845380E-06
    18   0.915844E+03   0.440124E-02   0.844876E-03   0.111589E+01   0.127972E-06   0.173124E-02  -0.391828E-06
    19   0.928900E+03   0.517545E-02   0.932135E-03   0.117830E+01   0.129588E-06   0.167538E-02   0.896451E-08
    20   0.942224E+03   0.609687E-02   0.102202E-02   0.124612E+01   0.131017E-06   0.162186E-02   0.241976E-06
    21   0.955760E+03   0.715938E-02   0.111465E-02   0.131715E+01   0.132283E-06   0.157230E-02   0.214765E-06
    22   0.969523E+03   0.835740E-02   0.120978E-02   0.138904E+01   0.133417E-06   0.152596E-02  -0.594279E-07
    23   0.983548E+03   0.969449E-02   0.130752E-02   0.145790E+01   0.134400E-06   0.148250E-02  -0.437570E-06
    24   0.998059E+03   0.111761E-01   0.140741E-02   0.152594E+01   0.135272E-06   0.144020E-02  -0.731127E-06
    25   0.101275E+04   0.127977E-01   0.150949E-02   0.158965E+01   0.136013E-06   0.139888E-02  -0.830625E-06
    26   0.102776E+04   0.145634E-01   0.161375E-02   0.164413E+01   0.136668E-06   0.135979E-02  -0.761675E-06
    27   0.104320E+04   0.164843E-01   0.172004E-02   0.168943E+01   0.137204E-06   0.132249E-02  -0.631557E-06
    28   0.105869E+04   0.185912E-01   0.182785E-02   0.172727E+01   0.137672E-06   0.128679E-02  -0.533250E-06
    29   0.107449E+04   0.208904E-01   0.193741E-02   0.175767E+01   0.138028E-06   0.125262E-02  -0.484344E-06
    30   0.109069E+04   0.233782E-01   0.204885E-02   0.177932E+01   0.138328E-06   0.122058E-02  -0.450765E-06
    31   0.110688E+04   0.260638E-01   0.216117E-02   0.179823E+01   0.138538E-06   0.118849E-02  -0.410162E-06
    32   0.112335E+04   0.289710E-01   0.227476E-02   0.181249E+01   0.138697E-06   0.115769E-02  -0.388631E-06
    33   0.113996E+04   0.320971E-01   0.238962E-02   0.181747E+01   0.138778E-06   0.112902E-02  -0.433709E-06
    34   0.115695E+04   0.354322E-01   0.250549E-02   0.181579E+01   0.138814E-06   0.110222E-02  -0.563842E-06
    35   0.117397E+04   0.389961E-01   0.262172E-02   0.180665E+01   0.138792E-06   0.107625E-02  -0.738616E-06
    36   0.119107E+04   0.428083E-01   0.273857E-02   0.178568E+01   0.138718E-06   0.105124E-02  -0.874961E-06
    37   0.120868E+04   0.468572E-01   0.285631E-02   0.175325E+01   0.138593E-06   0.102725E-02  -0.899508E-06
    38   0.122628E+04   0.511493E-01   0.297380E-02   0.171542E+01   0.138439E-06   0.100351E-02  -0.799825E-06
    39   0.124390E+04   0.556855E-01   0.309130E-02   0.166663E+01   0.138224E-06   0.980448E-03  -0.631934E-06
    40   0.126205E+04   0.604611E-01   0.320911E-02   0.160200E+01   0.137986E-06   0.958746E-03  -0.486019E-06
    41   0.128024E+04   0.654759E-01   0.332644E-02   0.152908E+01   0.137709E-06   0.937234E-03  -0.434993E-06
    42   0.129825E+04   0.707780E-01   0.344285E-02   0.144450E+01   0.137398E-06   0.916263E-03  -0.500588E-06
    43   0.131673E+04   0.763770E-01   0.355912E-02   0.134449E+01   0.137048E-06   0.896705E-03  -0.645179E-06
    44   0.133573E+04   0.822508E-01   0.367531E-02   0.123562E+01   0.136692E-06   0.878380E-03  -0.798097E-06
    45   0.135411E+04   0.883987E-01   0.378940E-02   0.112195E+01   0.136283E-06   0.859753E-03  -0.896601E-06
    46   0.137286E+04   0.948286E-01   0.390279E-02   0.996514E+00   0.135864E-06   0.841715E-03  -0.914967E-06
    47   0.139238E+04   0.101517E+00   0.401609E-02   0.853390E+00   0.135416E-06   0.824889E-03  -0.866247E-06
